Column|Format|QuestionText|dtcode
q133_6|CURRENCY|(AFRICA) Sovereign wealth funds - Non-listed debt products|14_20
q13ROW3_hidden|CURRENCY|(AFRICA) Sovereign wealth funds TOTAL|14_21
q134_1|CURRENCY|(AFRICA) Government institutions - Non-listed/ commingled real estate funds/private REITs|14_22
q134_2|CURRENCY|(AFRICA) Government institutions - Separate accounts investing directly into real estate|14_23
q134_3|CURRENCY|(AFRICA) Government institutions - Separate accounts investing into indirect vehicles|14_24
q134_4|CURRENCY|(AFRICA) Government institutions - Joint ventures and club deals|14_25
q134_5|CURRENCY|(AFRICA) Government institutions - Funds of funds|14_26
q134_6|CURRENCY|(AFRICA) Government institutions - Non-listed debt products|14_27
q13ROW4_hidden|CURRENCY|(AFRICA) Government institutions TOTAL|14_28
q135_1|CURRENCY|(AFRICA) Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|14_29
q135_2|CURRENCY|(AFRICA) Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|14_30
q135_3|CURRENCY|(AFRICA) Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|14_31
q135_4|CURRENCY|(AFRICA) Charities, foundations, non-profit organisations - Joint ventures and club deals|14_32
q135_5|CURRENCY|(AFRICA) Charities, foundations, non-profit organisations - Funds of funds|14_33
q135_6|CURRENCY|(AFRICA) Charities, foundations, non-profit organisations - Non-listed debt products|14_34
q13ROW5_hidden|CURRENCY|(AFRICA) Charities, foundations, non-profit organisations  TOTAL|14_35
q136_1|CURRENCY|(AFRICA) Funds of funds - Non-listed/ commingled real estate funds/private REITs|14_36
q136_2|CURRENCY|(AFRICA) Funds of funds - Separate accounts investing directly into real estate|14_37
q136_3|CURRENCY|(AFRICA) Funds of funds - Separate accounts investing into indirect vehicles|14_38
q136_4|CURRENCY|(AFRICA) Funds of funds - Joint ventures and club deals|14_39
q136_5|CURRENCY|(AFRICA) Funds of funds - Funds of funds|14_40
q136_6|CURRENCY|(AFRICA) Funds of funds - Non-listed debt products|14_41
q13ROW6_hidden|CURRENCY|(AFRICA) Funds of funds TOTAL|14_42
q137_1|CURRENCY|(AFRICA) High net worth individuals /Family offices - Non-listed/ commingled real estate funds/private REITs|14_43
q137_2|CURRENCY|(AFRICA) High net worth individuals /Family offices - Separate accounts investing directly into real estate|14_44
q137_3|CURRENCY|(AFRICA) High net worth individuals /Family offices - Separate accounts investing into indirect vehicles|14_45
q137_4|CURRENCY|(AFRICA) High net worth individuals /Family offices - Joint ventures and club deals|14_46
q137_5|CURRENCY|(AFRICA) High net worth individuals /Family offices - Funds of funds|14_47
q137_6|CURRENCY|(AFRICA) High net worth individuals /Family offices - Non-listed debt products|14_48
q13ROW7_hidden|CURRENCY|(AFRICA) High net worth individuals /Family offices TOTAL|14_49
q13other|CURRENCY|(AFRICA) Other (please specify)|14_50
q138_1|CURRENCY|(AFRICA) Other - Non-listed/ commingled real estate funds/private REITs|14_51
q138_2|CURRENCY|(AFRICA) Other - Separate accounts investing directly into real estate|14_52
q138_3|CURRENCY|(AFRICA) Other - Separate accounts investing into indirect vehicles|14_53
q138_4|CURRENCY|(AFRICA) Other - Joint ventures and club deals|14_54
q138_5|CURRENCY|(AFRICA) Other - Funds of funds|14_55
