Column|Format|QuestionText|dtcode|answer_Label|answer_label_condensed|qn_breakdown_label|section|Topic|sub_topic|Question|comment|column_order
q31_4|CURRENCY|Asia Pacific Strategy - Joint ventures and club deals|6_4|RegionalStrategyAsiaPacific_JVs|RSAPAC_JVs|Asia Pacific - Joint ventures and club deals||Capital raised |Regional Strategy and Vehicle Type|q6||45
q31_5|CURRENCY|Asia Pacific Strategy - Funds of funds|6_5|RegionalStrategyAsiaPacific_FundsOfFunds|RSAPAC_FOF|Asia Pacific - Funds of funds||Capital raised |Regional Strategy and Vehicle Type|q6||46
q31_6|CURRENCY|Asia Pacific Strategy - Non-listed debt products|6_6|RegionalStrategyAsiaPacific_Debt|RSAPAC_Debt|Asia Pacific - Non-listed debt||Capital raised |Regional Strategy and Vehicle Type|q6||47
q3ROW1_Total|CURRENCY|Asia Pacific Strategy - TOTAL|6_7|RegionalStrategyAsiaPacific_VehicleType_Total|RSAPAC_VT_Total|Asia Pacific - Vehicle type total||Capital raised |Regional Strategy and Vehicle Type|q6||48
q32_1|CURRENCY|European Strategy - Non-listed/ commingled real estate funds/private REITs|6_8|RegionalStrategyEurope_NonListedFunds|RSEUR_NLF|Europe - Non-listed funds||Capital raised |Regional Strategy and Vehicle Type|q6||49
q32_2|CURRENCY|European Strategy - Separate accounts investing directly into real estate|6_9|RegionalStrategyEurope_SeparateAccountsDirect|RSEUR_SepAccDirect|Europe - Separate accounts investing directly||Capital raised |Regional Strategy and Vehicle Type|q6||50
q32_3|CURRENCY|European Strategy - Separate accounts investing into indirect vehicles|6_10|RegionalStrategyEurope_SeparateAccountsIndirect|RSEUR_SepAccIndirect|Europe - Separate accounts investing indirectly||Capital raised |Regional Strategy and Vehicle Type|q6||51
q32_4|CURRENCY|European Strategy - Joint ventures and club deals|6_11|RegionalStrategyEurope_JVs|RSEUR_JVs|Europe -  Joint ventures and club deals||Capital raised |Regional Strategy and Vehicle Type|q6||52
q32_5|CURRENCY|European Strategy - Funds of funds|6_12|RegionalStrategyEurope_FundsOfFunds|RSEUR_FOF|Europe - Funds of funds||Capital raised |Regional Strategy and Vehicle Type|q6||53
q32_6|CURRENCY|European Strategy - Non-listed debt products|6_13|RegionalStrategyEurope_Debt|RSEUR_Debt|Europe - Non-listed debt||Capital raised |Regional Strategy and Vehicle Type|q6||54
q3ROW2_Total|CURRENCY|European Strategy - TOTAL|6_14|RegionalStrategyEurope_VehicleType_Total|RSEUR_VT_Total|Europe - Vehicle type total||Capital raised |Regional Strategy and Vehicle Type|q6||55
q33_1|CURRENCY|North American Strategy - Non-listed/ commingled real estate funds/private REITs|6_15|RegionalStrategyNorthAmerica_NonListedFunds|RSNA_NLF|North America - Non-listed funds||Capital raised |Regional Strategy and Vehicle Type|q6||56
q33_2|CURRENCY|North American Strategy - Separate accounts investing directly into real estate|6_16|RegionalStrategyNorthAmerica_SeparateAccountsDirect|RSNA_SepAccDirect|North America - Separate accounts investing directly||Capital raised |Regional Strategy and Vehicle Type|q6||57
q33_3|CURRENCY|North American Strategy - Separate accounts investing into indirect vehicles|6_17|RegionalStrategyNorthAmerica_SeparateAccountsIndirect|RSNA_SepAccIndirect|North America - Separate accounts investing indirectly||Capital raised |Regional Strategy and Vehicle Type|q6||58
q33_4|CURRENCY|North American Strategy - Joint ventures and club deals|6_18|RegionalStrategyNorthAmerica_JVs|RSNA_JVs|North America -  Joint ventures and club deals||Capital raised |Regional Strategy and Vehicle Type|q6||59
q33_5|CURRENCY|North American Strategy - Funds of funds|6_19|RegionalStrategyNorthAmerica_FundsOfFunds|RSNA_FOF|North America - Funds of funds||Capital raised |Regional Strategy and Vehicle Type|q6||60
q33_6|CURRENCY|North American Strategy - Non-listed debt products|6_20|RegionalStrategyNorthAmerica_Debt|RSNA_Debt|North America - Non-listed debt||Capital raised |Regional Strategy and Vehicle Type|q6||61
q3ROW3_Total|CURRENCY|North American Strategy - TOTAL|6_21|RegionalStrategyNorthAmerica_VehicleType_Total|RSNA_VT_Total|North America - Vehicle type total||Capital raised |Regional Strategy and Vehicle Type|q6||62
q34_1|CURRENCY|Global Strategy - Non-listed/ commingled real estate funds/private REITs|6_22|RegionalStrategyGlobal_NonListedFunds|RSGLB_NLF|Global - Non-listed funds||Capital raised |Regional Strategy and Vehicle Type|q6||63
q34_2|CURRENCY|Global Strategy - Separate accounts investing directly into real estate|6_23|RegionalStrategyGlobal_SeparateAccountsDirect|RSGLB_SepAccDirect|Global - Separate accounts investing directly||Capital raised |Regional Strategy and Vehicle Type|q6||64
q34_3|CURRENCY|Global Strategy - Separate accounts investing into indirect vehicles|6_24|RegionalStrategyGlobal_SeparateAccountsIndirect|RSGLB_SepAccIndirect|Global - Separate accounts investing indirectly||Capital raised |Regional Strategy and Vehicle Type|q6||65
q34_4|CURRENCY|Global Strategy - Joint ventures and club deals|6_25|RegionalStrategyGlobal_JVs|RSGLB_JVs|Global -  Joint ventures and club deals||Capital raised |Regional Strategy and Vehicle Type|q6||66
q34_5|CURRENCY|Global Strategy - Funds of funds|6_26|RegionalStrategyGlobal_FundsOfFunds|RSGLB_FOF|Global - Funds of funds||Capital raised |Regional Strategy and Vehicle Type|q6||67
q34_6|CURRENCY|Global Strategy - Non-listed debt products|6_27|RegionalStrategyGlobal_Debt|RSGLB_Debt|Global - Non-listed debt||Capital raised |Regional Strategy and Vehicle Type|q6||68
q3ROW4_Total|CURRENCY|Global Strategy - TOTAL|6_28|RegionalStrategyGlobal_VehicleType_Total|RSGLB_VT_Total|Global - Vehicle type total||Capital raised |Regional Strategy and Vehicle Type|q6||69
q35_1|CURRENCY|South American Strategy - Non-listed/ commingled real estate funds/private REITs|6_29|RegionalStrategySouthAmerica_NonListedFunds|RSSA_NLF|South America - Non-listed funds||Capital raised |Regional Strategy and Vehicle Type|q6||70
q35_2|CURRENCY|South American Strategy - Separate accounts investing directly into real estate|6_30|RegionalStrategySouthAmerica_SeparateAccountsDirect|RSSA_SepAccDirect|South America - Separate accounts investing directly||Capital raised |Regional Strategy and Vehicle Type|q6||71
q35_3|CURRENCY|South American Strategy - Separate accounts investing into indirect vehicles|6_31|RegionalStrategySouthAmerica_SeparateAccountsIndirect|RSSA_SepAccIndirect|South America - Separate accounts investing indirectly||Capital raised |Regional Strategy and Vehicle Type|q6||72
q35_4|CURRENCY|South American Strategy - Joint ventures and club deals|6_32|RegionalStrategySouthAmerica_JVs|RSSA_JVs|South America -  Joint ventures and club deals||Capital raised |Regional Strategy and Vehicle Type|q6||73
q35_5|CURRENCY|South American Strategy - Funds of funds|6_33|RegionalStrategySouthAmerica_FundsOfFunds|RSSA_FOF|South America - Funds of funds||Capital raised |Regional Strategy and Vehicle Type|q6||74
q35_6|CURRENCY|South American Strategy - Non-listed debt products|6_34|RegionalStrategySouthAmerica_Debt|RSSA_Debt|South America - Non-listed debt||Capital raised |Regional Strategy and Vehicle Type|q6||75
q3ROW5_Total|CURRENCY|South American Strategy - TOTAL|6_35|RegionalStrategySouthAmerica_VehicleType_Total|RSSA_VT_Total|South America - Vehicle type total||Capital raised |Regional Strategy and Vehicle Type|q6||76
q36_1|CURRENCY|African Strategy - Non-listed/ commingled real estate funds/private REITs|6_36|RegionalStrategyAfrica_NonListedFunds|RSAFR_NLF|Africa - Non-listed funds||Capital raised |Regional Strategy and Vehicle Type|q6||77
q36_2|CURRENCY|African Strategy - Separate accounts investing directly into real estate|6_37|RegionalStrategyAfrica_SeparateAccountsDirect|RSAFR_SepAccDirect|Africa - Separate accounts investing directly||Capital raised |Regional Strategy and Vehicle Type|q6||78
q36_3|CURRENCY|African Strategy - Separate accounts investing into indirect vehicles|6_38|RegionalStrategyAfrica_SeparateAccountsIndirect|RSAFR_SepAccIndirect|Africa - Separate accounts investing indirectly||Capital raised |Regional Strategy and Vehicle Type|q6||79
q36_4|CURRENCY|African Strategy - Joint ventures and club deals|6_39|RegionalStrategyAfrica_JVs|RSAFR_JVs|Africa -  Joint ventures and club deals||Capital raised |Regional Strategy and Vehicle Type|q6||80
q36_5|CURRENCY|African Strategy - Funds of funds|6_40|RegionalStrategyAfrica_FundsOfFunds|RSAFR_FOF|Africa - Funds of funds||Capital raised |Regional Strategy and Vehicle Type|q6||81
q36_6|CURRENCY|African Strategy - Non-listed debt products|6_41|RegionalStrategyAfrica_Debt|RSAFR_Debt|Africa - Non-listed debt||Capital raised |Regional Strategy and Vehicle Type|q6||82
q3ROW6_Total|CURRENCY|African Strategy - TOTAL|6_42|RegionalStrategyAfrica_VehicleType_Total|RSAFR_VT_Total|Africa - Vehicle type total||Capital raised |Regional Strategy and Vehicle Type|q6||83
q3COL1_Total|CURRENCY|TOTAL - Non-listed/ commingled real estate funds/private REITs|6_43|RegionalStrategy_NonListedFunds_Total|RS_NLF_Total|Regional strategy - Non-listed funds total||Capital raised |Regional Strategy and Vehicle Type|q6||84
